code,year,value
NC,2009,0
NC,2011,0
NC,2017,4
NC,2018,0
NC,2019,1
NC,2020,2
PG,2005,2
PG,2006,216
PG,2007,56284
PG,2008,36393
PG,2009,580
PG,2010,0
PG,2011,0
PG,2012,172
PG,2013,264
PG,2014,0
PG,2015,0
PG,2019,2100
PG,2020,3297
WF,2020,0
NU,2012,0
NU,2020,0
WS,2005,0
WS,2006,0
WS,2008,0
WS,2009,6332
WS,2012,0
WS,2013,0
WS,2014,0
WS,2015,0
WS,2016,0
WS,2018,383
WS,2019,5700
WS,2020,195
WS,2021,15
WS,2022,16607
WS,2023,138
TV,2011,0
TV,2015,0
TV,2016,1003
TV,2017,0
TV,2018,0
TV,2019,0
TV,2020,2266
TV,2021,6
TV,2022,7748
PW,2009,0
PW,2011,0
PW,2012,1528
PW,2015,0
PW,2016,11009
PW,2021,24220
PW,2022,780
MH,2006,0
MH,2008,96
MH,2011,0
MH,2013,0
MH,2014,280
MH,2015,0
MH,2016,27452
MH,2017,7029
MH,2018,0
MH,2019,35844
MH,2020,56718
MH,2021,0
MH,2022,52914
TO,2005,0
TO,2006,0
TO,2007,0
TO,2008,0
TO,2009,7
TO,2010,0
TO,2011,345
TO,2012,0
TO,2013,0
TO,2014,4520
TO,2015,0
TO,2016,0
TO,2017,0
TO,2018,84311
TO,2019,640
TO,2020,68
CK,2005,1121
CK,2007,0
CK,2009,0
CK,2010,4443
CK,2020,0
GU,2015,0
FM,2006,0
FM,2008,0
FM,2009,0
FM,2011,0
FM,2015,7600
FM,2016,0
FM,2017,0
FM,2018,1266
FM,2019,20732
FM,2020,0
FM,2021,15010
AS,2009,0
AS,2014,0
AS,2015,0
AS,2018,3800
AS,2019,12
AS,2020,232
FJ,2005,0
FJ,2006,60
FJ,2007,12
FJ,2008,804
FJ,2009,12692
FJ,2010,6644
FJ,2011,344
FJ,2012,37085
FJ,2013,0
FJ,2014,0
FJ,2015,0
FJ,2016,633584
FJ,2017,0
FJ,2018,155726
FJ,2019,78045
FJ,2020,235921
FJ,2021,78030
FJ,2022,1787
SB,2006,0
SB,2007,21343
SB,2008,0
SB,2009,68
SB,2010,1456
SB,2011,36
SB,2012,216
SB,2013,7577
SB,2014,14831
SB,2015,185886
SB,2016,60858
SB,2017,51465
SB,2018,194155
SB,2019,1834
SB,2020,2339
SB,2021,240
SB,2022,20080
KI,2008,85
KI,2014,44
KI,2015,2507
KI,2016,0
KI,2018,0
KI,2019,3
KI,2020,15
KI,2021,333
MP,2014,0
MP,2015,0
TK,2005,0
TK,2009,0
TK,2011,0
PF,2007,0
VU,2005,0
VU,2006,0
VU,2007,4
VU,2008,60
VU,2009,422
VU,2010,500
VU,2011,248
VU,2012,28
VU,2013,0
VU,2014,152
VU,2015,0
VU,2017,920
VU,2018,23286
VU,2019,18
VU,2020,246802
VU,2021,1400
NR,2019,63
NR,2020,1133
NR,2021,4
NR,2022,5393
