code,country,early,late,change
PF,French Polynesia,0.16,0.37,0.21
KI,Kiribati,0.08,0.37,0.29
CK,Cook Islands,0.16,0.49,0.33
NC,New Caledonia,0.06,0.4,0.34
TK,Tokelau,0.12,0.47,0.35
GU,Guam,0.2,0.59,0.39
PG,Papua New Guinea,0.15,0.54,0.39
TV,Tuvalu,0.12,0.51,0.39
AS,American Samoa,0.15,0.55,0.4
MP,Northern Mariana Islands,0.21,0.61,0.4
VU,Vanuatu,0.07,0.47,0.4
WF,Wallis and Futuna,0.14,0.54,0.4
FJ,Fiji,0.07,0.49,0.42
NU,Niue,0.15,0.57,0.42
WS,Samoa,0.13,0.55,0.42
MH,Marshall Islands,0.09,0.52,0.43
TO,Tonga,0.11,0.54,0.43
PW,Palau,0.14,0.58,0.44
FM,Federated States of Micronesia,0.15,0.6,0.45
SB,Solomon Islands,0.13,0.58,0.45
NR,Nauru,0.06,0.55,0.49
