code,country,year,rainfall,yield_change
CK,Cook Islands,1994,-1.4,-5.69
CK,Cook Islands,1995,6.7,-0.33
CK,Cook Islands,1996,2.3,-2.83
CK,Cook Islands,1997,-4.1,6.22
CK,Cook Islands,1998,-5.8,6.87
CK,Cook Islands,1999,1.3,-3.9
CK,Cook Islands,2000,-13.9,-0.76
CK,Cook Islands,2001,3.6,-2.8
CK,Cook Islands,2002,-8.3,2.58
CK,Cook Islands,2003,12.4,14.06
CK,Cook Islands,2004,2,-7.68
CK,Cook Islands,2005,12.4,0.15
CK,Cook Islands,2006,3.5,-14.43
CK,Cook Islands,2007,4,11.19
CK,Cook Islands,2008,-7.3,-4.18
CK,Cook Islands,2009,-3.8,-0.33
CK,Cook Islands,2010,0.7,-7.11
CK,Cook Islands,2011,-14.2,-5.74
CK,Cook Islands,2012,-1.1,-11.11
CK,Cook Islands,2013,-3.4,-0.43
CK,Cook Islands,2014,3.1,-4.46
CK,Cook Islands,2015,-5.9,-8.99
CK,Cook Islands,2016,11.1,2.26
CK,Cook Islands,2017,-0.6,-1.98
CK,Cook Islands,2018,1.1,-1.51
CK,Cook Islands,2019,21.2,-2.26
CK,Cook Islands,2020,-0.1,-1.07
CK,Cook Islands,2021,-13.8,-0.83
CK,Cook Islands,2022,-8.1,2.87
CK,Cook Islands,2023,-5.2,-0.86
FJ,Fiji,1994,-9.7,7.93
FJ,Fiji,1995,-10.9,3.87
FJ,Fiji,1996,10.3,-7.73
FJ,Fiji,1997,8.9,-10.23
FJ,Fiji,1998,-24.2,-20.13
FJ,Fiji,1999,19.6,55.95
FJ,Fiji,2000,21.7,-0.73
FJ,Fiji,2001,-1.8,-21.55
FJ,Fiji,2002,-0.1,5.7
FJ,Fiji,2003,-17.8,-7.84
FJ,Fiji,2004,-10,3.49
FJ,Fiji,2005,-5.1,-0.82
FJ,Fiji,2006,-10.9,10.14
FJ,Fiji,2007,10.9,-16.12
FJ,Fiji,2008,5.4,-9.11
FJ,Fiji,2009,14.4,-1.72
FJ,Fiji,2010,0.2,46.3
FJ,Fiji,2011,10.5,5.74
FJ,Fiji,2012,23.9,-4.18
FJ,Fiji,2013,8.1,-3.07
FJ,Fiji,2014,-14.4,9.64
FJ,Fiji,2015,-21,14.63
FJ,Fiji,2016,-0.7,-15.89
FJ,Fiji,2017,-2.1,12.98
FJ,Fiji,2018,1.8,5.07
FJ,Fiji,2019,19.9,1.96
FJ,Fiji,2020,2.1,-15.46
FJ,Fiji,2021,8.1,-8.17
FJ,Fiji,2022,12.7,6.4
FJ,Fiji,2023,-3.3,12.24
FM,Federated States of Micronesia,1994,-9.8,-4.63
FM,Federated States of Micronesia,1995,-12.3,-95.83
FM,Federated States of Micronesia,1996,-1.8,0.08
FM,Federated States of Micronesia,1997,-13.2,-0.1
FM,Federated States of Micronesia,1998,-39.4,-0.11
FM,Federated States of Micronesia,1999,15.2,-0.53
FM,Federated States of Micronesia,2000,8.8,0.2
FM,Federated States of Micronesia,2001,0.9,-0.06
FM,Federated States of Micronesia,2002,6.2,-0.05
FM,Federated States of Micronesia,2003,-3.1,0.51
FM,Federated States of Micronesia,2004,8.6,-4.18
FM,Federated States of Micronesia,2005,9.1,-4.08
FM,Federated States of Micronesia,2006,4.8,-4.34
FM,Federated States of Micronesia,2007,0.9,0.61
FM,Federated States of Micronesia,2008,-1.8,-2
FM,Federated States of Micronesia,2009,8.9,0.19
FM,Federated States of Micronesia,2010,-7.8,-0.67
FM,Federated States of Micronesia,2011,16.9,27.87
FM,Federated States of Micronesia,2012,1,-1.77
FM,Federated States of Micronesia,2013,-2.4,0.58
FM,Federated States of Micronesia,2014,14.9,22.17
FM,Federated States of Micronesia,2015,-11.8,-1.08
FM,Federated States of Micronesia,2016,-12.3,1.1
FM,Federated States of Micronesia,2017,5,0.13
FM,Federated States of Micronesia,2018,-0.4,22.79
FM,Federated States of Micronesia,2019,34.7,-0.07
FM,Federated States of Micronesia,2020,5.6,-0.02
FM,Federated States of Micronesia,2021,20.1,0.1
FM,Federated States of Micronesia,2022,4.6,3.28
FM,Federated States of Micronesia,2023,23.4,-2.52
KI,Kiribati,1994,1.5,0.26
KI,Kiribati,1995,-18.4,0.26
KI,Kiribati,1996,-25.2,-2.3
KI,Kiribati,1997,40.4,-0.08
KI,Kiribati,1998,-16.9,24.36
KI,Kiribati,1999,-29.7,0.11
