station,year,dhw
Fiji,1985,0.65
Fiji,1986,1.52
Fiji,1987,0.14
Fiji,1988,3.02
Fiji,1989,0.32
Fiji,1990,0.14
Fiji,1991,0.52
Fiji,1992,2.67
Fiji,1993,0
Fiji,1994,1
Fiji,1995,0.49
Fiji,1996,2.94
Fiji,1997,1.16
Fiji,1998,0
Fiji,1999,1.85
Fiji,2000,13.2
Fiji,2001,8.31
Fiji,2002,9.84
Fiji,2003,2.29
Fiji,2004,3.51
Fiji,2005,7.34
Fiji,2006,7.69
Fiji,2007,0
Fiji,2008,2.33
Fiji,2009,7.06
Fiji,2010,0.3
Fiji,2011,0.15
Fiji,2012,0.45
Fiji,2013,2.35
Fiji,2014,13.8
Fiji,2015,10.39
Fiji,2016,9.71
Fiji,2017,4.74
Fiji,2018,3.23
Fiji,2019,9.81
Fiji,2020,3.87
Fiji,2021,1.94
Fiji,2022,8.77
Fiji,2023,12.66
Fiji,2024,13.31
Fiji,2025,8
"Gilbert Islands, Kiribati",1985,1.54
"Gilbert Islands, Kiribati",1986,13.52
"Gilbert Islands, Kiribati",1987,10.4
"Gilbert Islands, Kiribati",1988,10.75
"Gilbert Islands, Kiribati",1989,1.15
"Gilbert Islands, Kiribati",1990,8.94
"Gilbert Islands, Kiribati",1991,9.51
"Gilbert Islands, Kiribati",1992,5.86
"Gilbert Islands, Kiribati",1993,4.7
"Gilbert Islands, Kiribati",1994,6.42
"Gilbert Islands, Kiribati",1995,5
"Gilbert Islands, Kiribati",1996,0
"Gilbert Islands, Kiribati",1997,0.86
"Gilbert Islands, Kiribati",1998,0
"Gilbert Islands, Kiribati",1999,0
"Gilbert Islands, Kiribati",2000,0
"Gilbert Islands, Kiribati",2001,2.99
"Gilbert Islands, Kiribati",2002,3.76
"Gilbert Islands, Kiribati",2003,3.48
"Gilbert Islands, Kiribati",2004,15.88
"Gilbert Islands, Kiribati",2005,15.48
"Gilbert Islands, Kiribati",2006,13.52
"Gilbert Islands, Kiribati",2007,9.74
"Gilbert Islands, Kiribati",2008,0
"Gilbert Islands, Kiribati",2009,14.14
"Gilbert Islands, Kiribati",2010,10.68
"Gilbert Islands, Kiribati",2011,0
"Gilbert Islands, Kiribati",2012,7.99
"Gilbert Islands, Kiribati",2013,5.05
"Gilbert Islands, Kiribati",2014,12.93
"Gilbert Islands, Kiribati",2015,12.73
"Gilbert Islands, Kiribati",2016,6.17
"Gilbert Islands, Kiribati",2017,0
"Gilbert Islands, Kiribati",2018,15.52
"Gilbert Islands, Kiribati",2019,15.44
"Gilbert Islands, Kiribati",2020,13
"Gilbert Islands, Kiribati",2021,0
"Gilbert Islands, Kiribati",2022,0
"Gilbert Islands, Kiribati",2023,17.5
"Gilbert Islands, Kiribati",2024,15.44
"Gilbert Islands, Kiribati",2025,0.3
Northern Tonga,1985,0
Northern Tonga,1986,1.58
Northern Tonga,1987,0.15
Northern Tonga,1988,2.81
Northern Tonga,1989,0
Northern Tonga,1990,0
Northern Tonga,1991,2.07
Northern Tonga,1992,1.18
Northern Tonga,1993,1
Northern Tonga,1994,5.07
Northern Tonga,1995,0.32
Northern Tonga,1996,1.3
Northern Tonga,1997,0
Northern Tonga,1998,0.33
Northern Tonga,1999,0.33
Northern Tonga,2000,0.3
Northern Tonga,2001,6.48
Northern Tonga,2002,3.08
Northern Tonga,2003,4.83
Northern Tonga,2004,2.73
Northern Tonga,2005,3.46
Northern Tonga,2006,2.77
Northern Tonga,2007,0.95
Northern Tonga,2008,0.3
Northern Tonga,2009,4.3
Northern Tonga,2010,3.39
Northern Tonga,2011,0
Northern Tonga,2012,0
Northern Tonga,2013,0.57
Northern Tonga,2014,8.26
Northern Tonga,2015,13.64
Northern Tonga,2016,6.39
Northern Tonga,2017,7.68
Northern Tonga,2018,1.1
Northern Tonga,2019,1.1
Northern Tonga,2020,4.31
Northern Tonga,2021,0.31
Northern Tonga,2022,1.42
Northern Tonga,2023,4.57
Northern Tonga,2024,15.2
Northern Tonga,2025,4.51
Palau,1985,1.11
Palau,1986,3.46
Palau,1987,1.29
Palau,1988,1.29
Palau,1989,0.36
Palau,1990,0.32
Palau,1991,0
Palau,1992,1.05
Palau,1993,0.51
Palau,1994,0.3
Palau,1995,0.45
Palau,1996,1.72
Palau,1997,1.43
Palau,1998,8.69
Palau,1999,0.44
Palau,2000,0.64
Palau,2001,0.6
Palau,2002,0.6
Palau,2003,0.63
Palau,2004,0.35
