code,country,year,share,renewable_gwh,nonrenewable_gwh
CK,Cook Islands,2000,0.4,0.2,49.4
CK,Cook Islands,2001,0.39,0.2,51.7
CK,Cook Islands,2002,0.36,0.2,55.4
CK,Cook Islands,2003,0.34,0.2,58.2
CK,Cook Islands,2004,0.34,0.2,59.4
CK,Cook Islands,2005,0.33,0.2,60.5
CK,Cook Islands,2006,0.31,0.2,64.2
CK,Cook Islands,2007,0.3,0.2,67.3
CK,Cook Islands,2008,0.3,0.2,67
CK,Cook Islands,2009,0.31,0.2,65.2
CK,Cook Islands,2010,0.3,0.2,67.4
CK,Cook Islands,2011,0.3,0.2,67.2
CK,Cook Islands,2012,0.3,0.2,65.8
CK,Cook Islands,2013,2.92,1.9,63.2
CK,Cook Islands,2014,4.44,2.9,62.4
CK,Cook Islands,2015,10.67,7,58.6
CK,Cook Islands,2016,13.7,9.4,59.2
CK,Cook Islands,2017,15.98,11.7,61.5
CK,Cook Islands,2018,24.2,20.3,63.6
CK,Cook Islands,2019,25.06,19.6,58.6
CK,Cook Islands,2020,26.25,17.8,50
CK,Cook Islands,2021,21.1,14.2,53.1
CK,Cook Islands,2022,19.2,14.4,60.6
CK,Cook Islands,2023,21.58,18.8,68.3
FJ,Fiji,2000,76.15,1025.6,321.2
FJ,Fiji,2001,77.7,1098,315.2
FJ,Fiji,2002,73.34,1125.4,409.2
FJ,Fiji,2003,56.84,884.2,671.4
FJ,Fiji,2004,58.81,951.6,666.6
FJ,Fiji,2005,52.83,889.5,794.2
FJ,Fiji,2006,50.65,914.4,891
FJ,Fiji,2007,66.22,1204.2,614.2
FJ,Fiji,2008,64.92,1187.6,641.8
FJ,Fiji,2009,60.1,1087.8,722.1
FJ,Fiji,2010,51.33,983.2,932.4
FJ,Fiji,2011,58.02,1080.6,781.8
FJ,Fiji,2012,64.98,1196.6,644.8
FJ,Fiji,2013,61.22,1186.8,751.8
FJ,Fiji,2014,49.23,979.8,1010.3
FJ,Fiji,2015,47.86,975.6,1063
FJ,Fiji,2016,53.85,1109.8,951.2
FJ,Fiji,2017,51.28,1141,1084.2
FJ,Fiji,2018,58.36,1330.9,949.7
FJ,Fiji,2019,54.5,1338.2,1117.4
FJ,Fiji,2020,59.79,1365.4,918.4
